,,,,,,,,,,"采购入库明细报表",,,,,,,,,,,
"门店名称:九记·東門口",,,,,,,,,,,,,,,,,,,,,
"查询条件:总部/门店:[九记·東門口;店铺编码：CC000010045,東門口温州店;店铺编码：CS009040522,(闭店)東門口上海中庚漫游城店;店铺编码：CS009040523,東門口桐乡万象汇店;店铺编码：CS009054282,東門口武林店;店铺编码：CS003031459,東門口奥体店;店铺编码：CS003030504,東門口苏州店;店铺编码：CS009039921,(闭店)炎合里中国北方菜;店铺编码：CS011000128,(闭店)炎合里金华永盛购物中心店;店铺编码：CS009035567,東門口远洋店;店铺编码：CS003021468,(闭店)东门口96店;店铺编码：CS003025461,東門口杭州滨江龙湖店;店铺编码：CS009051886,東門口无锡店;店铺编码：CS009050468,焱合里自助火锅文一路店;店铺编码：CS009034590,東門口金华世贸店;店铺编码：CS009037775,京熹顺杭州金沙店;店铺编码：CS009053371,東門口富阳店;店铺编码：CS009049555,東門口上海西郊百联店;店铺编码：CS009050467,巷口锅香文一路店;店铺编码：CS009058665,東門口501店;店铺编码：CS009040508,華門新京菜中国茶(欧美广场EFC店);店铺编码：CS009035566,小蒸娘老杭州萧山蒸菜;店铺编码：CS009057694,東門口啦啦宝都店;店铺编码：CS009040524,京熹顺南京店;店铺编码：CS009053417]; 单据状态:全部; 供应商:全部; 入库仓库:全部; 日期类型:单据业务日期; 日期范围:[""2026-02-01"",""2026-02-28""]; 查询条件:",,,,,,,,,,,,,,,,,,,,,
"店铺名称","单号","单据业务日期","单据操作日期","状态","入库仓库","供应商","原料分类","原料条形码","原料名称","规格","入库单位","入库数量","计价单位","单价(元)","金额(元)","税率(%)","不含税单价(元)","不含税金额(元)","税额(元)","整单备注",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000009476	","黑豆花（总仓）","","盒",32.00,"盒",8.00,256.00,0,8.00,256.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000001043	","麻酱烧饼（总仓）","","盒",32.00,"盒",16.00,512.00,0,16.00,512.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（其他）","2000000013268	","清油火锅底料（总仓） 小袋250g","","袋",50.00,"袋",9.50,475.00,0,9.50,475.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000016740	","牛油香辣锅底（总仓）","250克1包","包",60.00,"包",9.00,540.00,0,9.00,540.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（酒水、饮品）","2000000024301	","五谷杂粮(总仓)","250g/40包/箱","包",8.00,"包",0.00,0.00,0,0.00,0.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000014708	","油辣椒（总仓）","2斤1包","包",3.00,"包",45.00,135.00,0,45.00,135.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000017129	","青椒酱(总仓)","500g/包","包",4.00,"包",14.00,56.00,0,14.00,56.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000017143	","菌菇酱调味料（总仓）","454g/包","包",15.00,"包",16.00,240.00,0,16.00,240.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000017136	","牛肉风味酱（总仓）","454g/包","包",20.00,"包",17.50,350.00,0,17.50,350.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000001487	","水晶甜蒜（总仓）","","斤",60.00,"桶",288.00,575.99,0,288.00,575.99,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（调料、自助小料）","2000000003085	","麻酱（总仓）","","斤",80.00,"斤",12.00,960.00,0,12.00,960.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000015934	","古追牛肉丸（总仓）","500g1包","包",40.00,"包",16.00,640.00,0,16.00,640.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000015903	","精品雪花板腱（总仓）","","斤",26.20,"斤",39.00,1021.80,0,39.00,1021.80,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000016245	","羊排肉(总仓)","","斤",29.70,"斤",44.00,1306.80,0,44.00,1306.80,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000016238	","羊后腿小卷(总仓)","3斤1卷","斤",18.00,"斤",45.00,810.00,0,45.00,810.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000016436	","锡哈炖肉块（熟制）总仓","净500g1包","包",5.00,"包",64.00,320.00,0,64.00,320.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000016153	","鑫隆铂金肥牛（总仓）","7.2一块","斤",21.60,"斤",26.00,561.60,0,26.00,561.60,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000013817	","美肥IBF","斤","斤",29.80,"斤",46.00,1370.80,0,46.00,1370.80,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000011509	","国产滩羊法式八肋（总仓）","","斤",5.00,"斤",50.00,250.00,0,50.00,250.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000011493	","羊霖球（总仓）","","斤",80.00,"斤",43.00,3440.00,0,43.00,3440.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000002750	","脆肚（总仓）","","斤",25.00,"斤",44.00,1100.00,0,44.00,1100.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000000725	","羊尾油（总仓）","","斤",20.00,"斤",13.00,260.00,0,13.00,260.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000000732	","羊腰子（总仓）","","斤",5.00,"斤",35.00,175.00,0,35.00,175.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000010755	","羔羊肉卷（总仓）","","斤",200.00,"斤",45.00,9000.00,0,45.00,9000.00,0.00,"",
"京熹顺南京店","20260131000005	","2026-02-01","2026-02-08","已收货","南京百家湖仓库","总部(东门口供货专用仓)","总仓（肉类）","2000000000695	","高钙砖（总仓）","","斤",42.00,"斤",48.00,2016.00,0,48.00,2016.00,0.00,"",
