项　　　  　目,行次,2025-01-01T00:00:00_预算数,本月实际,2025-02-01T00:00:00_预算数,本月实际_1,2025-03-01T00:00:00_预算数,本月实际_2,2025-04-01T00:00:00_预算数,本月实际_3,2025-05-01T00:00:00_预算数,本月实际_4,2025-06-01T00:00:00_预算数,本月实际_5,2025-07-01T00:00:00_预算数,本月实际_6,2025-08-01T00:00:00_预算数,本月实际_7,2025-09-01T00:00:00_预算数,本月实际_8,2025-10-01T00:00:00_预算数,本月实际_9,2025-11-01T00:00:00_预算数,本月实际_10,2025-12-01T00:00:00_预算数,本月实际_11,2025年合计_预算数,本年实际,2025年合计逆向验证_实际数,2025年合计逆向验证_预算数,本月实际_12,检验结果_预算数,本月实际_13
社保,,3775.2,2425.24,3775.2,2425.24,3775.2,2425.24,3775.2,2425.24,3775.2,3637.86,3775.2,3637.86,3775.2,3637.86,3775.2,3637.86,3775.2,4350.61,3775.2,3769.41,3775.2,3769.41,3775.2,3769.41,45302.399999999994,39911.240000000005,,45302.399999999994,39911.240000000005,0.0,0
养老,,2340.0,1539.84,2340.0,1539.84,2340.0,1539.84,2340.0,1539.84,2340.0,2309.76,2340.0,2309.76,2340.0,2309.76,2340.0,2309.76,2340.0,2950.08,2340.0,2393.28,2340.0,2393.28,2340.0,2393.28,28080.0,25528.319999999996,,28080.0,25528.319999999996,0.0,0
医疗,,1248.0,818.04,1248.0,818.04,1248.0,818.04,1248.0,818.04,1248.0,1227.06,1248.0,1227.06,1248.0,1227.06,1248.0,1227.06,1248.0,1271.43,1248.0,1271.43,1248.0,1271.43,1248.0,1271.43,14976.0,13266.119999999999,,14976.0,13266.119999999999,0.0,0
工伤,,31.2,19.24,31.2,19.24,31.2,19.24,31.2,19.24,31.2,28.86,31.2,28.86,31.2,28.86,31.2,28.86,31.2,38.99,31.2,29.91,31.2,29.91,31.2,29.91,374.3999999999999,321.1200000000001,,374.3999999999999,321.1200000000001,0.0,0
失业,,78.0,48.12,78.0,48.12,78.0,48.12,78.0,48.12,78.0,72.18,78.0,72.18,78.0,72.18,78.0,72.18,78.0,90.11,78.0,74.79,78.0,74.79,78.0,74.79,936.0,795.6799999999998,,936.0,795.6799999999998,0.0,0
生育,,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0,936.0,0.0,,936.0,0.0,0.0,0
公积金,,807.0,538.0,807.0,538.0,807.0,538.0,807.0,538.0,807.0,807.0,807.0,538.0,807.0,538.0,807.0,538.0,807.0,538.0,807.0,538.0,807.0,538.0,807.0,538.0,9684.0,6725.0,,9684.0,6725.0,0.0,0
工会经费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
职工教育经费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
福利费,,800.0,700.0,200.0,1100.0,365.0,0.0,200.0,145.0,200.0,0.0,200.0,133.0,200.0,100.0,200.0,124.0,200.0,600.0,800.0,306.0,200.0,0.0,200.0,50.0,3765.0,3258.0,,3765.0,3258.0,0.0,0
职工房租,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,,0.0,0.0,0.0,97.0,,0.0,97.0,0.0,0
水电物业费,,200.0,100.0,200.0,100.0,200.0,,200.0,145.0,200.0,,200.0,133.0,200.0,100.0,200.0,124.0,200.0,0.0,200.0,209.0,200.0,,200.0,50.0,2400.0,961.0,,2400.0,961.0,0.0,0
员工餐,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0
节日礼品,,600.0,600.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,600.0,600.0,0.0,,,,0.0,1200.0,1200.0,,1200.0,1200.0,0.0,0
生日礼品,,0.0,0.0,,0.0,165.0,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,165.0,0.0,,165.0,0.0,0.0,0
体检,,,0.0,,1000.0,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,1000.0,,0.0,1000.0,0.0,0
其他福利支出,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0
招聘费,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0
办公费,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0
市内交通费,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
差旅费,,9010.0,3921.62,9010.0,4156.26,9010.0,8541.8,9010.0,12716.490000000002,9010.0,10874.689999999999,9010.0,8153.11,9010.0,11247.81,9010.0,8608.4,9010.0,12777.220000000001,9010.0,4059.2299999999996,9010.0,8934.130000000001,9010.0,8552.46,108120.0,102543.22,,108120.0,102543.22,0.0,0
交通费,,2900.0,2745.74,2900.0,1671.59,2900.0,3920.41,2900.0,8531.54,2900.0,6908.19,2900.0,4839.96,2900.0,5032.41,2900.0,4583.48,2900.0,8797.35,2900.0,24.2099999999998,2900.0,4165.84,2900.0,4696.26,34800.0,55916.97999999999,,34800.0,55916.97999999999,0.0,0
住宿费,,1400.0,-47.12,1400.0,644.67,1400.0,1245.86,1400.0,882.67,1400.0,989.5,1400.0,205.15,1400.0,2878.0,1400.0,1009.35,1400.0,834.87,1400.0,1140.02,1400.0,1458.29,1400.0,536.2,16800.0,11777.460000000003,,16800.0,11777.460000000003,0.0,0
餐补,,3510.0,630.0,3510.0,1440.0,3510.0,2575.53,3510.0,2502.28,3510.0,2185.0,3510.0,2300.0,3510.0,2537.4,3510.0,2215.57,3510.0,2345.0,3510.0,2095.0,3510.0,2510.0,3510.0,2520.0,42120.0,25855.780000000002,,42120.0,25855.780000000002,0.0,0
交通补助,,900.0,445.0,900.0,300.0,900.0,600.0,900.0,600.0,900.0,592.0,900.0,608.0,900.0,600.0,900.0,600.0,900.0,600.0,900.0,600.0,900.0,600.0,900.0,600.0,10800.0,6745.0,,10800.0,6745.0,0.0,0
通讯补助,,300.0,148.0,300.0,100.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,300.0,200.0,3600.0,2248.0,,3600.0,2248.0,0.0,0
招待费,,2000.0,3968.8,2000.0,0.0,10000.0,0.0,2000.0,-2231.8,2000.0,0.0,2000.0,0.0,2000.0,1154.0,2000.0,827.0,2000.0,7151.68,2000.0,3659.7,2000.0,931.46,2000.0,904.8,32000.0,16365.64,,32000.0,16365.64,0.0,0
通讯费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
网络费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
修理费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
车辆费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
租赁费,,2000.0,1597.0,2000.0,1597.0,2000.0,1597.0,2000.0,1597.0,2000.0,1597.0,2000.0,1627.0,2000.0,1597.0,2000.0,1597.0,2000.0,1500.0,2000.0,1597.0,2000.0,1597.0,2000.0,1597.0,24000.0,19097.0,,24000.0,19097.0,0.0,0
能源费,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
水费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
电费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
燃气费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
蒸汽费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
物业费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
劳动保护费,,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,,900.0,0.0,0.0,0
顾问费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
快递费,,625.0,148.61,625.0,581.44,625.0,842.99,625.0,1364.9,625.0,534.92,625.0,455.17,625.0,733.25,625.0,593.12,625.0,386.21,625.0,330.65,625.0,299.49,625.0,426.39,7500.0,6697.14,,7500.0,6697.14,0.0,0
诉讼费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
会员费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
广告宣传费,,,0.0,,1450.0,,0.0,,248.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1698.0,,0.0,1698.0,0.0,0
会务费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,20000.0,3809.92,,-98.5,,0.0,,0.0,20000.0,3711.42,,20000.0,3711.42,0.0,0
装修费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
推广费,,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.33,0.0,833.37,0.0,10000.000000000002,0.0,,10000.000000000002,0.0,0.0,0
展会费,,,0.0,,0.0,,504.42,,0.0,,0.0,,0.0,,0.0,,0.0,,990.1,,0.0,,0.0,,0.0,0.0,1494.52,,0.0,1494.52,0.0,0
设计费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
折旧费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
认证费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
样品费,,2800.0,1918.54,2800.0,3857.37,2800.0,2590.59,2800.0,5530.63,2800.0,1924.79,2800.0,2296.63,2800.0,1562.13,2800.0,2833.33,2800.0,2332.95,2800.0,2617.59,2800.0,4480.23,2800.0,1321.94,33600.0,33266.72,,33600.0,33266.72,0.0,0
劳务费,,5718.0,126.42,5718.0,139.45,5718.0,131.6,,115.96,0.0,118.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,-4.31,17154.0,703.2300000000001,,17154.0,703.2300000000001,0.0,0
销售佣金,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
检测费,,,240.57,,0.0,2000.0,0.0,,304.72,,0.0,,505.19,,0.0,,1535.61,,0.05,,1094.34,,0.0,,0.0,2000.0,3680.4800000000005,,2000.0,3680.4800000000005,0.0,0
质量赔偿,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
保险费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
清洁费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
低值易耗品,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
物料消耗,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,55.97,,0.0,,244.46,,1.06,,0.0,,0.0,0.0,301.49,,0.0,301.49,0.0,0
盘盈盘亏,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
平台服务费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
无形资产摊销,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
研发材料,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
项目名称,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
研发费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
残保金,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
环保费,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
报废损失,,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,6000.0,0.0,,6000.0,0.0,0.0,0
管理费用,7,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
职工薪酬,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
工资,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
奖金及提成,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0
社保,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0
