domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
crm,SupplierListTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierListTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
crm,SupplierPriceComparisonTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierPriceComparisonTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
crm,SupplierRankingTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierRankingTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
crm,SupplierSearchTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/SupplierSearchTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
system,SwitchFactoryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SwitchFactoryTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
system,SystemFeedbackTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SystemFeedbackTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
system,SystemGoBackTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SystemGoBackTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
system,SystemHelpTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SystemHelpTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
system,SystemNotificationSettingsTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SystemNotificationSettingsTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
system,SystemSettingsTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SystemSettingsTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
system,TodoListTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/TodoListTool.java,true,true,true,7,0,LOW,"factoryId 被使用 7 次，无可疑模式"
governance,ToolPatternDiscoveryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/governance/ToolPatternDiscoveryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
shipment,TraceBatchTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/TraceBatchTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
shipment,TraceFullTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/shipment/TraceFullTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
dataop,TraceGenerateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dataop/TraceGenerateTool.java,true,true,true,6,0,LOW,"factoryId 被使用 6 次，无可疑模式"
transfer,TransferApproveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/transfer/TransferApproveTool.java,true,true,true,9,0,LOW,"factoryId 被使用 9 次，无可疑模式"
transfer,TransferCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/transfer/TransferCreateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
transfer,TransferDetailTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/transfer/TransferDetailTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
transfer,TransferListTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/transfer/TransferListTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
transfer,TransferStatsTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/transfer/TransferStatsTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
user,UserCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/user/UserCreateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
user,UserDisableTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/user/UserDisableTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
user,UserRoleAssignTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/user/UserRoleAssignTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
hr,WorkerArrivalConfirmTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/WorkerArrivalConfirmTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
dataop,WorkerRealtimeCountTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dataop/WorkerRealtimeCountTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
workreport,WorkReportDailySummaryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workreport/WorkReportDailySummaryTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
